date,description,amount,merchant
2026-02-19 18:11:54,supplies from Target,80.54,Target
2026-02-19 18:12:07,phone payment Verizon,71.81,Verizon
2026-02-19 18:14:02,online order from Walmart,91.17,Walmart
2026-02-19 18:12:14,monthly subscription Hulu,16.55,Hulu
2026-02-19 18:17:00,utility payment Verizon,36.64,Verizon
2026-02-19 18:11:49,monthly bill AT&T,11.69,AT&T
2026-02-19 18:14:49,insurance premium PG&E,14.18,PG&E
2026-02-19 18:13:35,electronics from Best Buy,7.71,Best Buy
2026-02-19 18:16:42,parking at Uber,29.61,Uber
2026-02-19 18:12:33,game purchase AMC Theatres,16.62,AMC Theatres
2026-02-19 18:13:37,parking at Chevron,219.05,Chevron
2026-02-19 18:13:36,groceries at Trader Joe's,34.06,Trader Joe's
2026-02-19 18:13:04,direct deposit Freelance Client,-2729.71,Freelance Client
2026-02-19 18:11:36,toll payment Shell,29.96,Shell
2026-02-19 18:14:13,eye exam at Dental Office,123.91,Dental Office
2026-02-19 18:12:07,monthly subscription Netflix,92.51,Netflix
2026-02-19 18:15:11,freelance payment Freelance Client,-1707.27,Freelance Client
2026-02-19 18:12:01,prescription at Dental Office,13.96,Dental Office
2026-02-19 18:13:29,utility payment Verizon,18.5,Verizon
2026-02-19 18:14:17,internet service Verizon,20.32,Verizon
2026-02-19 18:17:01,clothing from Best Buy,34.34,Best Buy
2026-02-19 18:12:09,monthly bill PG&E,27.48,PG&E
2026-02-19 18:12:27,lunch at Starbucks,30.95,Starbucks
2026-02-19 18:16:20,movie night Hulu,36.54,Hulu
2026-02-19 18:11:43,groceries at Trader Joe's,117.54,Trader Joe's
2026-02-19 18:17:04,donation to Wire Transfer,17.65,Wire Transfer
2026-02-19 18:15:02,lunch at Trader Joe's,25.74,Trader Joe's
2026-02-19 18:13:11,ride to work Shell,13.89,Shell
2026-02-19 18:16:37,monthly bill Verizon,11.03,Verizon
2026-02-19 18:16:12,gas fillup at Chevron,28.72,Chevron
2026-02-19 18:13:39,utility payment State Farm,42.14,State Farm
2026-02-19 18:16:24,concert tickets Spotify,40.53,Spotify
2026-02-19 18:12:50,internet service Verizon,39.83,Verizon
2026-02-19 18:15:15,flight booking Chevron,54.53,Chevron
2026-02-19 18:14:45,movie night Spotify,130.81,Spotify
2026-02-19 18:16:27,internet service PG&E,49.66,PG&E
2026-02-19 18:13:29,electronics from Target,76.33,Target
2026-02-19 18:13:59,lunch at Whole Foods,22.52,Whole Foods
2026-02-19 18:16:12,bonus payment Side Gig Co,-1835.87,Side Gig Co
2026-02-19 18:14:40,transfer received Freelance Client,-2558.35,Freelance Client
2026-02-19 18:15:42,dental checkup at Walgreens,9.66,Walgreens
2026-02-19 18:15:25,concert tickets Steam,21.76,Steam
2026-02-19 18:15:35,gas fillup at Lyft,31.75,Lyft
2026-02-19 18:16:56,phone payment AT&T,10.97,AT&T
2026-02-19 18:14:31,movie night Steam,17.14,Steam
2026-02-19 18:15:36,phone payment State Farm,36.75,State Farm
2026-02-19 18:13:50,transfer received Side Gig Co,-3083.29,Side Gig Co
2026-02-19 18:11:47,eye exam at Kaiser,40.57,Kaiser
2026-02-19 18:16:07,salary deposit Side Gig Co,-1122.87,Side Gig Co
2026-02-19 18:12:41,monthly subscription Hulu,41.55,Hulu
2026-02-19 18:16:31,gas fillup at Uber,59.91,Uber
2026-02-19 18:17:04,phone payment AT&T,35.55,AT&T
2026-02-19 18:15:32,game purchase AMC Theatres,16.52,AMC Theatres
2026-02-19 18:12:37,clothing from Nike,225.59,Nike
2026-02-19 18:13:37,electronics from Walmart,36.63,Walmart
2026-02-19 18:13:56,dental checkup at Dental Office,19.96,Dental Office
2026-02-19 18:12:02,dinner at Starbucks,14.39,Starbucks
2026-02-19 18:14:20,clothing from Target,11.69,Target
2026-02-19 18:15:02,supplies from Amazon,38.16,Amazon
2026-02-19 18:13:36,gas fillup at Shell,32.33,Shell
2026-02-19 18:12:44,supplies from Target,28.01,Target
2026-02-19 18:12:07,pharmacy at Eye Center,25.56,Eye Center
2026-02-19 18:15:22,monthly subscription Spotify,259.15,Spotify
2026-02-19 18:11:40,takeout from Starbucks,97.33,Starbucks
2026-02-19 18:13:42,lunch at Chipotle,80.18,Chipotle
2026-02-19 18:12:58,pharmacy at CVS Pharmacy,20.74,CVS Pharmacy
2026-02-19 18:14:47,concert tickets Netflix,38.39,Netflix
2026-02-19 18:15:56,home goods at Target,67.79,Target
2026-02-19 18:17:03,bonus payment Direct Deposit,-2211.42,Direct Deposit
2026-02-19 18:15:25,monthly bill AT&T,150.77,AT&T
2026-02-19 18:17:33,streaming service Netflix,80.16,Netflix
2026-02-19 18:17:23,concert tickets Spotify,30.63,Spotify
2026-02-19 18:15:22,phone payment State Farm,11.97,State Farm
2026-02-19 18:13:00,toll payment Chevron,47.39,Chevron
2026-02-19 18:14:30,miscellaneous charge Government Fee,73.64,Government Fee
2026-02-19 18:12:39,electronics from Nike,45.28,Nike
2026-02-19 18:17:33,wire transfer Local Shop,57.59,Local Shop
2026-02-19 18:14:16,electronics from Target,41.79,Target
2026-02-19 18:16:06,groceries at Chipotle,41.42,Chipotle
2026-02-19 18:11:51,lunch at McDonald's,6.89,McDonald's
2026-02-19 18:12:24,flight booking Shell,70.61,Shell
2026-02-19 18:12:45,game purchase Spotify,28.06,Spotify
2026-02-19 18:13:08,transfer received Employer Inc,-504.07,Employer Inc
2026-02-19 18:13:42,direct deposit Side Gig Co,-3338.68,Side Gig Co
2026-02-19 18:13:13,flight booking Uber,29.98,Uber
2026-02-19 18:14:12,direct deposit Side Gig Co,-2615.01,Side Gig Co
2026-02-19 18:14:07,dinner at Whole Foods,262.79,Whole Foods
2026-02-19 18:12:15,pharmacy at Eye Center,58.5,Eye Center
2026-02-19 18:11:58,concert tickets Steam,11.51,Steam
2026-02-19 18:13:43,bonus payment PayPal Transfer,-2653.57,PayPal Transfer
2026-02-19 18:12:07,ride to work Delta Airlines,19.38,Delta Airlines
2026-02-19 18:14:11,game purchase Steam,40.18,Steam
2026-02-19 18:11:39,pharmacy at Walgreens,2.16,Walgreens
2026-02-19 18:14:48,electronics from Target,211.31,Target
2026-02-19 18:12:02,takeout from Chipotle,87.5,Chipotle
2026-02-19 18:15:45,clothing from Nike,37.43,Nike
2026-02-19 18:14:01,clothing from Amazon,17.58,Amazon
2026-02-19 18:17:30,online order from Walmart,10.29,Walmart
2026-02-19 18:13:10,electronics from Nike,47.13,Nike
2026-02-19 18:14:26,eye exam at Dental Office,27.53,Dental Office
2026-02-19 18:16:06,insurance premium Comcast,26.86,Comcast
2026-02-19 18:13:36,game purchase Steam,4.27,Steam
2026-02-19 18:13:41,coffee from McDonald's,51.04,McDonald's
2026-02-19 18:15:26,takeout from McDonald's,17.22,McDonald's
2026-02-19 18:17:25,ride to work Uber,11.28,Uber
2026-02-19 18:16:54,lunch at Trader Joe's,3.68,Trader Joe's
2026-02-19 18:14:06,coffee from Trader Joe's,6.6,Trader Joe's
2026-02-19 18:15:54,coffee from Trader Joe's,9.81,Trader Joe's
2026-02-19 18:15:40,supplies from Walmart,98.63,Walmart
2026-02-19 18:13:49,freelance payment PayPal Transfer,-1872.24,PayPal Transfer
2026-02-19 18:13:00,phone payment PG&E,46.8,PG&E
2026-02-19 18:12:04,dental checkup at Dental Office,16.75,Dental Office
2026-02-19 18:16:52,movie night Spotify,19.82,Spotify
2026-02-19 18:11:56,internet service AT&T,46.01,AT&T
2026-02-19 18:14:42,groceries at McDonald's,25.22,McDonald's
2026-02-19 18:14:49,transfer received Freelance Client,-592.59,Freelance Client
2026-02-19 18:12:28,transfer received Employer Inc,-1746.06,Employer Inc
2026-02-19 18:15:32,phone payment Verizon,56.2,Verizon
2026-02-19 18:17:05,movie night Hulu,46.32,Hulu
2026-02-19 18:16:15,internet service State Farm,39.08,State Farm
2026-02-19 18:13:56,utility payment PG&E,21.11,PG&E
2026-02-19 18:12:21,toll payment Uber,10.31,Uber
2026-02-19 18:17:26,gas fillup at Chevron,88.27,Chevron
2026-02-19 18:14:42,bonus payment PayPal Transfer,-674.15,PayPal Transfer
2026-02-19 18:15:22,doctor visit at CVS Pharmacy,122.98,CVS Pharmacy
2026-02-19 18:16:24,lunch at Whole Foods,23.49,Whole Foods
2026-02-19 18:13:55,gas fillup at Delta Airlines,7.81,Delta Airlines
2026-02-19 18:11:58,internet service State Farm,28.94,State Farm
2026-02-19 18:12:24,groceries at Starbucks,40.25,Starbucks
2026-02-19 18:15:36,gas fillup at Chevron,22.36,Chevron
2026-02-19 18:13:41,freelance payment Freelance Client,-4937.34,Freelance Client
2026-02-19 18:16:49,pharmacy at CVS Pharmacy,11.62,CVS Pharmacy
2026-02-19 18:16:02,dental checkup at Dental Office,27.68,Dental Office
2026-02-19 18:17:28,ride to work Chevron,48.69,Chevron
2026-02-19 18:15:36,parking at Delta Airlines,10.98,Delta Airlines
2026-02-19 18:13:25,service fee Misc Store,128.82,Misc Store
2026-02-19 18:16:20,gas fillup at Uber,69.92,Uber
2026-02-19 18:11:46,phone payment Verizon,18.59,Verizon
2026-02-19 18:14:43,donation to Government Fee,38.0,Government Fee
2026-02-19 18:16:49,monthly subscription Spotify,22.73,Spotify
2026-02-19 18:14:41,coffee from Whole Foods,48.09,Whole Foods
2026-02-19 18:12:25,atm withdrawal ATM Withdrawal,41.91,ATM Withdrawal
2026-02-19 18:14:36,internet service AT&T,55.31,AT&T
2026-02-19 18:14:52,groceries at McDonald's,14.8,McDonald's
2026-02-19 18:13:48,doctor visit at Walgreens,26.65,Walgreens
2026-02-19 18:16:57,monthly subscription Hulu,61.18,Hulu
2026-02-19 18:13:38,takeout from Chipotle,77.41,Chipotle
2026-02-19 18:13:13,phone payment Verizon,35.19,Verizon
2026-02-19 18:14:38,lunch at McDonald's,26.71,McDonald's
2026-02-19 18:12:49,transfer received Employer Inc,-4362.92,Employer Inc
2026-02-19 18:13:31,bonus payment Direct Deposit,-1482.88,Direct Deposit
2026-02-19 18:13:59,doctor visit at Walgreens,63.28,Walgreens
2026-02-19 18:17:13,online order from Nike,106.44,Nike
2026-02-19 18:12:04,parking at Lyft,35.31,Lyft
2026-02-19 18:12:46,concert tickets Hulu,4.03,Hulu
2026-02-19 18:12:47,home goods at Best Buy,90.65,Best Buy
2026-02-19 18:17:34,streaming service Hulu,30.83,Hulu
2026-02-19 18:16:56,home goods at Target,76.93,Target
2026-02-19 18:12:45,ride to work Chevron,61.21,Chevron
2026-02-19 18:14:59,utility payment PG&E,156.45,PG&E
2026-02-19 18:12:06,doctor visit at Walgreens,42.49,Walgreens
2026-02-19 18:13:30,freelance payment PayPal Transfer,-4915.03,PayPal Transfer
2026-02-19 18:13:38,eye exam at Walgreens,29.56,Walgreens
2026-02-19 18:14:49,salary deposit Employer Inc,-3413.23,Employer Inc
2026-02-19 18:17:10,ride to work Shell,8.49,Shell
2026-02-19 18:16:27,game purchase AMC Theatres,27.36,AMC Theatres
